center_x,center_y,center_z,error
-145.002459,-145.003274,-6.370345034284381,-0.445852179103132
-140.002459,-145.003274,-6.976814648770894,-0.5182239224276858
-135.002459,-145.003274,-7.63371463768116,-0.655984108069266
-130.002459,-145.003274,-8.398498756369262,-0.7981038590610412
-125.00245899999999,-145.003274,-9.213726710356683,-0.8925493187444392
-120.00245899999999,-145.003274,-10.028315343349954,-1.0177603695463826
-115.00245899999999,-145.003274,-10.829702189146426,-1.161640205356344
-110.00245899999999,-145.003274,-11.628092746312806,-1.309162672098209
-105.00245899999999,-145.003274,-12.396213600278886,-1.4259263652992515
-100.00245899999999,-145.003274,-13.115462134196608,-1.5263892282385
-95.00245899999999,-145.003274,-13.7997237952873,-1.5837147999540842
-90.00245899999999,-145.003274,-14.4351458786773,-1.5894299700368117
-85.00245899999999,-145.003274,-15.024301584622265,-1.535090561338816
-80.00245899999999,-145.003274,-15.561485754880934,-1.4310763147714127
-75.00245899999999,-145.003274,-16.031657702750405,-1.2957085294491129
-70.00245899999999,-145.003274,-16.44376638529218,-1.1305313266981505
-65.00245899999999,-145.003274,-16.788196221273004,-0.9717077669364569
-60.00245899999999,-145.003274,-17.009982650317795,-0.8512911117804667
-55.00245899999999,-145.003274,-17.175379045864137,-0.7320288146788343
-50.00245899999999,-145.003274,-17.308468063988204,-0.6143542256037036
-45.00245899999999,-145.003274,-17.388936745914368,-0.5009305562133943
-40.00245899999999,-145.003274,-17.448985227544245,-0.381226375262764
-35.00245899999999,-145.003274,-17.48083898489908,-0.26543401123462484
-30.002458999999988,-145.003274,-17.4742545815019,-0.1708533233951028
-25.002458999999988,-145.003274,-17.444892135829196,-0.09490619490860817
-20.002458999999988,-145.003274,-17.41883483918621,-0.018470305254925205
-15.002458999999988,-145.003274,-17.39773169174367,0.06582350046603747
-10.002458999999988,-145.003274,-17.40789176145245,0.17148296827911533
-5.0024589999999876,-145.003274,-17.423277289198474,0.2762676179310526
-0.0024589999999875545,-145.003274,-17.429854784252967,0.35937855740248575
4.9975410000000124,-145.003274,-17.440396357268018,0.4391361114812701
9.997541000000012,-145.003274,-17.441347240217635,0.5151256871569185
14.997541000000012,-145.003274,-17.43838921494734,0.5606691430468254
19.997541000000012,-145.003274,-17.441672399231745,0.5952169936441822
24.997541000000012,-145.003274,-17.45653903698875,0.6443897904975289
29.997541000000012,-145.003274,-17.458571785621302,0.6574974802848995
34.99754100000001,-145.003274,-17.464660538504422,0.6620672350947506
39.99754100000001,-145.003274,-17.48023172324778,0.6692061424614634
44.99754100000001,-145.003274,-17.510376861252364,0.6939259279212266
49.99754100000001,-145.003274,-17.529118810468912,0.7034606326092323
54.99754100000001,-145.003274,-17.520831348289654,0.6837620116952013
59.99754100000001,-145.003274,-17.50159765914963,0.6483477579950901
64.99754100000001,-145.003274,-17.442730328939618,0.593039978651495
69.99754100000001,-145.003274,-17.340838790571304,0.5250713984801484
74.99754100000001,-145.003274,-17.179191173900282,0.41640298663436026
79.99754100000001,-145.003274,-16.938393854760683,0.2892982428775202
84.99754100000001,-145.003274,-16.61803934896062,0.1572599600846955
89.99754100000001,-145.003274,-16.2185417630155,0.01845495401916
94.99754100000001,-145.003274,-15.700781953572736,-0.13108857075509495
99.99754100000001,-145.003274,-15.126493617946926,-0.23249945138166295
104.99754100000001,-145.003274,-14.48128975341243,-0.304823482521617
109.99754100000001,-145.003274,-13.753106756055297,-0.3598260869001603
114.99754100000001,-145.003274,-12.977155302844437,-0.341700365878984
119.99754100000001,-145.003274,-12.138214932807099,-0.2539895449166945
124.99754100000001,-145.003274,-11.261151931466319,-0.08222327273938644
129.997541,-145.003274,-10.356510209792573,0.10737995404908855
134.997541,-145.003274,-9.431464510428297,0.25817428986690827
139.997541,-145.003274,-8.537182957858109,0.41024947153508917
144.997541,-145.003274,-7.784949385917327,0.7271107499144435
-145.002459,-140.003274,-6.968833855302084,-0.4713252107054994
-140.002459,-140.003274,-7.6138345242184435,-0.6889734244763843
-135.002459,-140.003274,-8.420951009152747,-0.8955806509436364
-130.002459,-140.003274,-9.337321857887213,-1.0553125359135043
-125.00245899999999,-140.003274,-10.31045067086792,-1.1666710950845345
-120.00245899999999,-140.003274,-11.300478836256337,-1.303946507262635
-115.00245899999999,-140.003274,-12.294190455896532,-1.4151445632390582
-110.00245899999999,-140.003274,-13.292084589684432,-1.5122993463734944
-105.00245899999999,-140.003274,-14.25662181394367,-1.56732157245097
-100.00245899999999,-140.003274,-15.195359860833335,-1.549564805084451
-95.00245899999999,-140.003274,-16.11072358271086,-1.4657313008606865
-90.00245899999999,-140.003274,-16.982036289235488,-1.3442648431489101
-85.00245899999999,-140.003274,-17.77106354232676,-1.1957271528933178
-80.00245899999999,-140.003274,-18.454308548741555,-1.0559621084270205
-75.00245899999999,-140.003274,-19.044194843420712,-0.8897781648292116
-70.00245899999999,-140.003274,-19.56041020619544,-0.6962956400123664
-65.00245899999999,-140.003274,-19.98872072824888,-0.5072182797647714
-60.00245899999999,-140.003274,-20.296597079558012,-0.3559659569868998
-55.00245899999999,-140.003274,-20.53882731162225,-0.20463960177752794
-50.00245899999999,-140.003274,-20.73848866402009,-0.05531052985722714
-45.00245899999999,-140.003274,-20.875043911107817,0.0882765396969388
