center_x,center_y,center_z,error
-155.002459,-155.003274,-1.53384907102593,-3.953456326264906
-125.00245899999999,-155.003274,-5.094557752763669,-2.250275069789866
-95.00245899999999,-155.003274,-8.738271980081343,-2.227522314306838
-65.00245899999999,-155.003274,-10.45536099787471,-1.572397085918197
-35.00245899999999,-155.003274,-10.448844635855501,-1.2395452786084753
-5.0024589999999876,-155.003274,-10.445887713176688,-0.8895707406664636
24.997541000000012,-155.003274,-10.441738089865565,-0.6343486763067643
54.99754100000001,-155.003274,-10.465112741393526,-0.5372001342431433
84.99754100000001,-155.003274,-10.457170034391265,-0.7434986494634478
114.99754100000001,-155.003274,-8.341206663108807,-1.3165777967696033
144.997541,-155.003274,-4.0879600345816165,-1.2791800150973531
-155.002459,-125.003274,-5.0897361794370015,-2.1789413010285816
-125.00245899999999,-125.003274,-14.861317774510855,-1.4632093492855835
-95.00245899999999,-125.003274,-23.905709965921194,-1.680455308515757
-65.00245899999999,-125.003274,-29.55849140421161,-0.21668640418917634
-35.00245899999999,-125.003274,-31.5375851450491,1.292131238640105
-5.0024589999999876,-125.003274,-31.493650932777488,2.7149093432061004
24.997541000000012,-125.003274,-31.496845219216418,3.0767169375826735
54.99754100000001,-125.003274,-31.523614981241128,2.0598910301170443
84.99754100000001,-125.003274,-29.06341939591837,0.4292836036289393
114.99754100000001,-125.003274,-22.138123708957604,-0.8403774646511355
144.997541,-125.003274,-10.950763304869149,-0.5800343190142834
-155.002459,-95.003274,-8.777159939826886,-1.8484774652698719
-125.00245899999999,-95.003274,-23.84659772684341,-1.3731666647713299
-95.00245899999999,-95.003274,-35.836867883888296,-2.117752384727827
-65.00245899999999,-95.003274,-44.86490941784839,-1.3077799490509487
-35.00245899999999,-95.003274,-50.57658397576065,0.49361147226659724
-5.0024589999999876,-95.003274,-52.666248373326674,3.170399790739981
24.997541000000012,-95.003274,-52.66557976623246,3.3616914790443624
54.99754100000001,-95.003274,-50.07943103968335,0.7270192786604345
84.99754100000001,-95.003274,-43.08307916462771,-0.808753173172279
114.99754100000001,-95.003274,-32.006719066897716,-0.5722090669497987
144.997541,-95.003274,-16.458805637607348,0.6485266389010286
-155.002459,-65.003274,-10.463003286821706,-1.3592723507810265
-125.00245899999999,-65.003274,-29.523565592984237,0.12133324952994863
-95.00245899999999,-65.003274,-44.8366971898964,-1.138498504122978
-65.00245899999999,-65.003274,-56.946320282173495,-1.0776829815920057
-35.00245899999999,-65.003274,-63.96757627874639,-1.230348007104227
-5.0024589999999876,-65.003274,-65.93164436461366,-1.0710830531395406
24.997541000000012,-65.003274,-65.82970788107744,-0.9422409601221563
54.99754100000001,-65.003274,-62.95465553830077,-0.8668176654444517
84.99754100000001,-65.003274,-53.005056459533314,-0.4339048747979356
114.99754100000001,-65.003274,-37.464164556176414,1.1346621349228498
144.997541,-65.003274,-17.555169048435094,1.6466457582346712
-155.002459,-35.003274000000005,-10.482874521273306,-1.1762736646381082
-125.00245899999999,-35.003274000000005,-31.522173287487284,1.4860095765883252
-95.00245899999999,-35.003274000000005,-50.52183855116018,0.45433046024640356
-65.00245899999999,-35.003274000000005,-63.95633764654988,-1.028917963578582
