end_x,end_y,error
3,3,0.0
6,3,0.0
9,3,0.0
12,3,0.0
15,3,0.0
18,3,0.0
21,3,0.0
24,3,0.0
27,3,0.0
30,3,0.0
33,3,0.0
36,3,0.0
39,3,0.0
42,3,0.0
45,3,0.0
48,3,0.0
51,3,0.0
54,3,0.0
57,3,0.0
60,3,0.0
63,3,0.0
66,3,0.0
69,3,0.0
72,3,0.0
75,3,0.0
78,3,0.0
81,3,0.0
84,3,0.0
87,3,0.0
90,3,0.0
93,3,0.0
96,3,0.0
99,3,0.0
102,3,0.0
105,3,0.0
108,3,0.0
111,3,0.0
114,3,0.0
117,3,0.0
120,3,0.0
123,3,0.0
126,3,0.0
129,3,0.0
132,3,0.0
135,3,0.0
138,3,0.0
141,3,0.0
144,3,0.0
147,3,0.0
150,3,0.0
153,3,0.0
156,3,0.0
159,3,0.0
162,3,0.0
165,3,0.0
168,3,0.0
171,3,0.0
174,3,0.0
177,3,0.0
180,3,0.0
183,3,0.0
186,3,0.0
189,3,0.0
192,3,0.0
195,3,0.0
198,3,0.0
201,3,0.0
204,3,0.0
207,3,0.0
210,3,0.0
213,3,0.0
216,3,0.0
219,3,0.0
222,3,0.0
225,3,0.0
228,3,0.0
231,3,0.0
234,3,0.0
237,3,0.0
240,3,0.0
243,3,0.0
246,3,0.0
249,3,0.0
252,3,0.0
255,3,0.0
258,3,0.0
261,3,0.0
264,3,0.0
267,3,0.0
270,3,0.0
273,3,0.0
276,3,0.0
279,3,0.0
282,3,0.0
285,3,0.0
288,3,0.0
291,3,0.0
294,3,0.0
297,3,0.0
300,3,0.0
303,3,0.0
306,3,0.0
309,3,0.0
312,3,0.0
315,3,0.0
318,3,0.0
321,3,0.0
324,3,0.0
327,3,0.0
330,3,0.0
333,3,0.0
336,3,0.0
339,3,0.0
341,3,0.0
3,6,0.0
6,6,0.0
9,6,0.0
12,6,0.0
15,6,0.0
18,6,0.0
21,6,0.0
24,6,0.0
27,6,0.0
30,6,0.0
33,6,0.0
36,6,0.0
39,6,0.0
42,6,0.0
45,6,0.0
48,6,0.0
51,6,0.0
54,6,0.0
57,6,0.0
60,6,0.0
63,6,0.0
66,6,0.0
69,6,0.0
72,6,0.0
75,6,0.0
78,6,0.0
81,6,0.0
84,6,0.0
87,6,0.0
90,6,0.0
93,6,0.0
96,6,0.0
99,6,0.0
102,6,0.0
105,6,0.0
108,6,0.0
111,6,0.0
114,6,0.0
117,6,0.0
120,6,0.0
123,6,0.0
126,6,0.0
129,6,0.0
132,6,0.0
135,6,0.0
138,6,0.0
141,6,0.0
144,6,0.0
147,6,0.0
150,6,0.0
153,6,0.0
156,6,0.0
159,6,0.0
162,6,0.0
165,6,0.0
168,6,0.0
171,6,0.0
174,6,0.0
177,6,0.0
180,6,0.0
183,6,0.0
186,6,0.0
189,6,0.0
192,6,0.0
195,6,0.0
198,6,0.0
201,6,0.0
204,6,0.0
207,6,0.0
210,6,0.0
213,6,0.0
216,6,0.0
219,6,0.0
222,6,0.0
225,6,0.0
228,6,0.0
231,6,0.0
234,6,0.0
237,6,0.0
240,6,0.0
243,6,0.0
246,6,0.0
249,6,0.0
252,6,0.0
255,6,0.0
258,6,0.0
261,6,0.0
264,6,0.0
267,6,0.0
270,6,0.0
273,6,0.0
276,6,0.0
279,6,0.0
282,6,0.0
285,6,0.0
288,6,0.0
291,6,0.0
294,6,0.0
297,6,0.0
300,6,0.0
303,6,0.0
306,6,0.0
309,6,0.0
312,6,0.0
315,6,0.0
318,6,0.0
321,6,0.0
324,6,0.0
327,6,0.0
330,6,0.0
333,6,0.0
336,6,0.0
339,6,0.0
341,6,0.0
3,9,0.0
6,9,0.0
9,9,0.0
12,9,0.0
15,9,0.0
18,9,0.0
21,9,0.0
24,9,0.0
27,9,0.0
30,9,0.0
33,9,0.0
36,9,-0.5785985522800021
39,9,-2.8255074289109974
42,9,-4.977421018812391
45,9,-4.838854365878635
48,9,-4.723096635606554
51,9,-4.5905441708034935
54,9,-4.447020530700684
57,9,-4.348167631361219
60,9,-4.263138135274251
63,9,-4.166232373979357
66,9,-4.080891344282362
69,9,-3.977371401256985
72,9,-3.865323861440023
75,9,-3.754070070054796
78,9,-3.648368305630154
81,9,-3.5752734343210855
84,9,-3.5125537978278265
87,9,-3.482030232747396
90,9,-3.482648187213474
93,9,-3.507543298933241
96,9,-3.5206757386525473
99,9,-3.535698095957438
102,9,-3.5234127044677734
105,9,-3.525749762852987
108,9,-3.5023643705579968
111,9,-3.471149285634359
114,9,-3.4297126134236655
117,9,-3.412537627749973
120,9,-3.392739004558987
123,9,-3.3627907964918347
126,9,-3.31982503996955
129,9,-3.2769725852542453
132,9,-3.2657909393310547
135,9,-3.267023113038805
138,9,-3.2542205386691623
141,9,-3.243507650163439
144,9,-3.2298450469970703
147,9,-3.2142450279659696
150,9,-3.181134753757053
153,9,-3.132247659895155
156,9,-3.1065879662831626
159,9,-3.0824930402967663
162,9,-3.071195814344618
165,9,-3.0280478530459933
168,9,-2.9944206608666315
171,9,-2.9623540772332086
174,9,-2.93239606751336
177,9,-2.924302260080973
180,9,-2.92252779006958
183,9,-2.9074074957105847
186,9,-2.866221613354153
189,9,-2.803587648603651
192,9,-2.7520437240600586
195,9,-2.728109015358819
198,9,-2.731273439195421
201,9,-2.722970167795817
204,9,-2.7304304705725775
207,9,-2.706702629725138
210,9,-2.676046053568522
213,9,-2.6300884087880454
216,9,-2.5865434540642633
219,9,-2.565466218524509
222,9,-2.559249586529202
225,9,-2.559896230697632
228,9,-2.549698988596598
231,9,-2.528926054636637
234,9,-2.4993010097079806
237,9,-2.481227583355374
240,9,-2.4718059168921576
243,9,-2.4792867501576743
246,9,-2.4896008173624673
249,9,-2.4957939518822565
252,9,-2.4753177960713706
255,9,-2.441764407687717
258,9,-2.4104713333977594
261,9,-2.3966202206081815
264,9,-2.3888553778330484
267,9,-2.3656095133887396
270,9,-2.2908950514263577
273,9,-2.2068361706203885
276,9,-2.1414097679985895
279,9,-2.1326085726420083
282,9,-2.172952307595147
285,9,-2.243115186691284
288,9,-2.329557922151354
291,9,-2.4294546710120306
294,9,-2.5501612027486167
297,9,-2.6593705548180475
300,9,-2.7758694754706488
303,9,-2.9062084356943765
306,9,-3.0436255402035184
309,9,-3.1905029349856906
312,9,-3.3223499986860485
315,9,-3.447843737072415
318,9,-3.6094488302866616
321,9,-1.6416610346900091
324,9,0.0
327,9,0.0
330,9,0.0
333,9,0.0
336,9,0.0
339,9,0.0
341,9,0.0
3,12,0.0
6,12,0.0
9,12,0.0
12,12,0.0
15,12,0.0
18,12,0.0
21,12,0.0
24,12,0.0
27,12,0.0
30,12,0.0
33,12,-1.7235751152038574
36,12,-4.4906022283766
