center_x,center_y,center_z,error
-160.002459,-160.003274,nan,nan
-155.002459,-160.003274,nan,nan
-150.002459,-160.003274,-0.28001187179487175,-4.955713921953247
-145.002459,-160.003274,-0.7999008115384615,-4.485828821478678
-140.002459,-160.003274,-1.3122797767584098,-4.067175708943708
-135.002459,-160.003274,-1.7858236989247311,-3.7832800886320457
-130.002459,-160.003274,-2.290876918378378,-3.557568639361558
-125.00245899999999,-160.003274,-2.875785598603122,-3.3410999886901944
-120.00245899999999,-160.003274,-3.472051954607046,-3.1687479864811112
-115.00245899999999,-160.003274,-4.046914156148148,-3.0472413023023557
-110.00245899999999,-160.003274,-4.590886009152086,-2.9737487750915426
-105.00245899999999,-160.003274,-5.112711781476846,-2.9042130493669442
-100.00245899999999,-160.003274,-5.5851053356278175,-2.8645340463567743
-95.00245899999999,-160.003274,-6.018045933547942,-2.7830059694954743
-90.00245899999999,-160.003274,-6.383688020302278,-2.7089097233003705
-85.00245899999999,-160.003274,-6.665428887617766,-2.6314193891916573
-80.00245899999999,-160.003274,-6.873040013330321,-2.5616303206968385
-75.00245899999999,-160.003274,-6.957104493085468,-2.541980637034572
-70.00245899999999,-160.003274,-6.972650089586176,-2.5394492982954313
-65.00245899999999,-160.003274,-6.985365504111467,-2.509610914679685
-60.00245899999999,-160.003274,-6.969637238970588,-2.4885031730203977
-55.00245899999999,-160.003274,-6.97866313287037,-2.4270083230341966
-50.00245899999999,-160.003274,-6.975277863498719,-2.374066466074508
-45.00245899999999,-160.003274,-6.938167170361727,-2.3560277915522465
-40.00245899999999,-160.003274,-6.940689805820721,-2.297492456851988
-35.00245899999999,-160.003274,-6.92160311573321,-2.268209049639014
-30.002458999999988,-160.003274,-6.9166119256083425,-2.22883137681095
-25.002458999999988,-160.003274,-6.948500739939521,-2.153462024684044
-20.002458999999988,-160.003274,-6.954236165971257,-2.110885235092866
-15.002458999999988,-160.003274,-6.97690348377376,-2.048802516462185
-10.002458999999988,-160.003274,-6.998946150057804,-1.986006108556512
-5.0024589999999876,-160.003274,-6.988294467112856,-1.9500068461122952
-0.0024589999999875545,-160.003274,-6.980064756306411,-1.9087265897888563
4.9975410000000124,-160.003274,-6.958565584487535,-1.8792381818467163
9.997541000000012,-160.003274,-6.940894914490409,-1.8453714396174605
14.997541000000012,-160.003274,-6.960172217602219,-1.7851875992150519
19.997541000000012,-160.003274,-6.947451748206434,-1.7471497684702526
24.997541000000012,-160.003274,-6.9540577439109255,-1.691841688912285
29.997541000000012,-160.003274,-6.939762921751281,-1.6581364911322385
34.99754100000001,-160.003274,-6.897533726151698,-1.6477775041810594
39.99754100000001,-160.003274,-6.898864208226818,-1.6008879304148114
44.99754100000001,-160.003274,-6.89774930403525,-1.5645342526382204
49.99754100000001,-160.003274,-6.898457910416667,-1.5302203333021138
54.99754100000001,-160.003274,-6.944269184722222,-1.4619489780699637
59.99754100000001,-160.003274,-6.972209125523013,-1.4172125783705312
64.99754100000001,-160.003274,-6.974564066619917,-1.3993596679173304
69.99754100000001,-160.003274,-6.954826480065283,-1.409929801789546
74.99754100000001,-160.003274,-6.925992191732834,-1.4323813223774042
79.99754100000001,-160.003274,-6.901973148320895,-1.4574173034477713
84.99754100000001,-160.003274,-6.926464656937688,-1.4326407628474238
89.99754100000001,-160.003274,-6.984447542936287,-1.356490268685038
94.99754100000001,-160.003274,-6.954760275312856,-1.3220040668733326
99.99754100000001,-160.003274,-6.824784596821133,-1.321814831187064
104.99754100000001,-160.003274,-6.577087577521102,-1.3518447148780053
109.99754100000001,-160.003274,-6.196331735953808,-1.424657266839209
114.99754100000001,-160.003274,-5.742498627137971,-1.4842868672701657
119.99754100000001,-160.003274,-5.243009913251858,-1.4985702760281085
124.99754100000001,-160.003274,-4.659625433341896,-1.523828506894678
129.997541,-160.003274,-4.058212553648069,-1.584664499296176
134.997541,-160.003274,-3.402243096401453,-1.7252688408356847
139.997541,-160.003274,-2.744416790801791,-1.9494037591112643
144.997541,-160.003274,-2.1545534703196347,-2.173621110276179
149.997541,-160.003274,-1.6218206952380956,-2.411117673586776
154.997541,-160.003274,-1.0869940220883534,-2.7052910826008367
