center_x,center_y,center_z,error
-160.002459,-160.003274,nan,nan
-157.002459,-160.003274,nan,nan
-154.002459,-160.003274,nan,nan
-151.002459,-160.003274,-0.16514657894736842,-5.075228037037891
-148.002459,-160.003274,-0.5042584563106797,-4.7428155980459525
-145.002459,-160.003274,-0.7999008115384615,-4.485828821478678
-142.002459,-160.003274,-1.1093474735729385,-4.23224376155412
-139.002459,-160.003274,-1.4128829854689564,-3.997272060216774
-136.002459,-160.003274,-1.7018772014652015,-3.8178243075889
-133.002459,-160.003274,-1.9740993850340136,-3.6939386263981215
-130.002459,-160.003274,-2.290876918378378,-3.557568639361558
-127.00245899999999,-160.003274,-2.6480635746606334,-3.411815935254407
-124.00245899999999,-160.003274,-2.994452190887667,-3.2980518464605524
-121.00245899999999,-160.003274,-3.354074795231417,-3.196255576710403
-118.00245899999999,-160.003274,-3.7016751237607934,-3.119662007328783
-115.00245899999999,-160.003274,-4.046914156148148,-3.0472413023023557
-112.00245899999999,-160.003274,-4.3795627055043305,-2.9967925985854964
-109.00245899999999,-160.003274,-4.692672204876756,-2.964677564766371
-106.00245899999999,-160.003274,-5.01094713000507,-2.918698788327671
-103.00245899999999,-160.003274,-5.320311585651536,-2.8767549379940847
-100.00245899999999,-160.003274,-5.5851053356278175,-2.8645340463567743
-97.00245899999999,-160.003274,-5.851766528797028,-2.8197934122138
-94.00245899999999,-160.003274,-6.091454883093114,-2.775352572549967
-91.00245899999999,-160.003274,-6.312850879665234,-2.7272819791622482
-88.00245899999999,-160.003274,-6.507563978618051,-2.678398092530724
-85.00245899999999,-160.003274,-6.665428887617766,-2.6314193891916573
-82.00245899999999,-160.003274,-6.798086241332732,-2.592075620698087
-79.00245899999999,-160.003274,-6.901580939462391,-2.5545453469524904
-76.00245899999999,-160.003274,-6.943495061664022,-2.5467802120431027
-73.00245899999999,-160.003274,-6.981484379772727,-2.528762255093228
-70.00245899999999,-160.003274,-6.972650089586176,-2.5394492982954313
-67.00245899999999,-160.003274,-6.994017209651718,-2.5114654985902534
-64.00245899999999,-160.003274,-6.993649958638025,-2.4962146888301175
-61.00245899999999,-160.003274,-6.968999796512961,-2.4976956667949874
-58.00245899999999,-160.003274,-6.961698096468959,-2.4754732635626175
-55.00245899999999,-160.003274,-6.97866313287037,-2.4270083230341966
-52.00245899999999,-160.003274,-6.976748074426153,-2.3951823701491226
-49.00245899999999,-160.003274,-6.969051187223129,-2.36796901109633
-46.00245899999999,-160.003274,-6.937859965622077,-2.3670604308283942
-43.00245899999999,-160.003274,-6.942332768531469,-2.330569512143853
-40.00245899999999,-160.003274,-6.940689805820721,-2.297492456851988
-37.00245899999999,-160.003274,-6.937984974216027,-2.270243294346112
-34.00245899999999,-160.003274,-6.921705358521274,-2.2589581307180437
-31.002458999999988,-160.003274,-6.915670545328077,-2.238094624330593
-28.002458999999988,-160.003274,-6.917092257884972,-2.211029649401982
-25.002458999999988,-160.003274,-6.948500739939521,-2.153462024684044
-22.002458999999988,-160.003274,-6.951503409714153,-2.128900642587337
-19.002458999999988,-160.003274,-6.9620300459584294,-2.0944162377026654
-16.002458999999988,-160.003274,-6.972131385578484,-2.0616793227036667
-13.002458999999988,-160.003274,-6.974794582328386,-2.03371698235095
-10.002458999999988,-160.003274,-6.998946150057804,-1.986006108556512
-7.0024589999999876,-160.003274,-6.994287538585579,-1.9633909577765982
-4.0024589999999876,-160.003274,-6.990206742665743,-1.9388087743382372
-1.0024589999999876,-160.003274,-6.985465411859714,-1.9125230524069705
1.9975410000000124,-160.003274,-6.960195941080956,-1.9083252490450688
4.9975410000000124,-160.003274,-6.958565584487535,-1.8792381818467163
7.9975410000000124,-160.003274,-6.9572234007854,-1.8503233124926326
10.997541000000012,-160.003274,-6.942857286407768,-1.8339517964763608
13.997541000000012,-160.003274,-6.955518623295586,-1.799121217433897
16.997541000000012,-160.003274,-6.948336242943081,-1.7761157400328678
19.997541000000012,-160.003274,-6.947451748206434,-1.7471497684702526
22.997541000000012,-160.003274,-6.957676611394164,-1.707811271501027
25.997541000000012,-160.003274,-6.951347546508931,-1.6841869173682635
28.997541000000012,-160.003274,-6.939988841982779,-1.6668103646439791
31.997541000000012,-160.003274,-6.911467753542392,-1.6645264074693629
34.99754100000001,-160.003274,-6.897533726151698,-1.6477775041810594
37.99754100000001,-160.003274,-6.916572104664655,-1.6016055965123022
40.99754100000001,-160.003274,-6.897553508482455,-1.595446782888876
