center_x,center_y,center_z,error
-162.502459,-162.503274,nan,nan
-159.502459,-162.503274,nan,nan
-156.502459,-162.503274,nan,nan
-153.502459,-162.503274,nan,nan
-150.502459,-162.503274,nan,nan
-147.502459,-162.503274,nan,nan
-144.502459,-162.503274,nan,nan
-141.502459,-162.503274,-0.2131909310344827,-4.993339506917653
-138.502459,-162.503274,-0.5091238706896551,-4.722479451483191
-135.502459,-162.503274,-0.7815027862595421,-4.531920046347733
-132.502459,-162.503274,-1.034234257142857,-4.393011904453265
-129.502459,-162.503274,-1.275535874820144,-4.282446740592686
-126.50245899999999,-162.503274,-1.5698045724946696,-4.1297628994022455
-123.50245899999999,-162.503274,-1.8925880627118643,-3.97592433799187
-120.50245899999999,-162.503274,-2.2207567898498928,-3.8493765856114037
-117.50245899999999,-162.503274,-2.549295951310861,-3.7413987141335516
-114.50245899999999,-162.503274,-2.879219688304421,-3.634539268279149
-111.50245899999999,-162.503274,-3.1672949507944645,-3.577812516158636
-108.50245899999999,-162.503274,-3.4544652842003853,-3.5197492830691752
-105.50245899999999,-162.503274,-3.7430365380756956,-3.4514126736306667
-102.50245899999999,-162.503274,-4.009070805336832,-3.3966450908540824
-99.50245899999999,-162.503274,-4.2582670778291964,-3.3428120460857844
-96.50245899999999,-162.503274,-4.475636534826884,-3.299068172786133
-93.50245899999999,-162.503274,-4.685200350618269,-3.241111638544072
-90.50245899999999,-162.503274,-4.854892753462604,-3.200742506329488
-87.50245899999999,-162.503274,-5.0123437184044235,-3.1511845938241754
-84.50245899999999,-162.503274,-5.113661520079523,-3.1334911673841788
-81.50245899999999,-162.503274,-5.188813628056113,-3.1192628383760423
-78.50245899999999,-162.503274,-5.227697269540693,-3.1134102617115094
-75.50245899999999,-162.503274,-5.2258988182186235,-3.129910274339303
-72.50245899999999,-162.503274,-5.195149294975689,-3.162035308643634
-69.50245899999999,-162.503274,-5.1898963875305615,-3.1601324115652254
-66.50245899999999,-162.503274,-5.194008964140179,-3.14211427863652
-63.50245899999999,-162.503274,-5.186932443265306,-3.1297778293749134
-60.50245899999999,-162.503274,-5.198423491629236,-3.0948541478413096
-57.50245899999999,-162.503274,-5.198724673519737,-3.0692457671033857
-54.50245899999999,-162.503274,-5.1953324810699595,-3.0441346517243955
-51.50245899999999,-162.503274,-5.200483422727273,-3.0109438760474814
-48.50245899999999,-162.503274,-5.200616922885572,-2.982556945132689
-45.50245899999999,-162.503274,-5.214481354972951,-2.9403035051550686
-42.50245899999999,-162.503274,-5.213662130864198,-2.912369721132593
-39.50245899999999,-162.503274,-5.219932887428102,-2.878843075080636
-36.50245899999999,-162.503274,-5.205768137874436,-2.8670406589123982
-33.50245899999999,-162.503274,-5.194906505314799,-2.8520126863120336
-30.502458999999988,-162.503274,-5.18083217862969,-2.841324384348541
-27.502458999999988,-162.503274,-5.177075782161941,-2.8212662666845616
-24.502458999999988,-162.503274,-5.188210967260671,-2.7881943177679673
-21.502458999999988,-162.503274,-5.183028524813896,-2.770483406205836
-18.502458999999988,-162.503274,-5.196364435430464,-2.7365499770868404
-15.502458999999988,-162.503274,-5.20949860172982,-2.702182041943931
-12.502458999999988,-162.503274,-5.230525600824743,-2.660478520291121
-9.502458999999988,-162.503274,-5.2324681098856205,-2.635637715625521
-6.5024589999999876,-162.503274,-5.25619370593047,-2.5899600784209498
-3.5024589999999876,-162.503274,-5.258089955309553,-2.563007821590713
-0.5024589999999876,-162.503274,-5.244016869081927,-2.5510431451219966
